scenario,metric,value,low,high
No interventions,cancers,258467.42274475098,231531.1227722168,285403.72271728516
No interventions,cancers_with_hiv,7717.704025268555,3631.8607177734375,11803.547332763672
No interventions,cancers_no_hiv,250749.71746826172,224267.39944458008,277232.03549194336
No interventions,cancer_deaths,176750.55354309082,156170.00952148438,197331.09756469727
No interventions,ablations,0.0,,
No interventions,txvs,0.0,,
No interventions,vaccinations,0.0,,
No interventions,screens,0.0,,
No interventions,excisions,0.0,,
No interventions,leeps,0.0,,
No interventions,cancer_treatments,0.0,,
Baseline,cancers,169486.8350982666,151630.18612670898,187343.48406982422
Baseline,cancers_with_hiv,6204.428726196289,2421.240478515625,9987.616973876953
Baseline,cancers_no_hiv,163282.4056854248,144971.77435302734,181593.03701782227
Baseline,cancer_deaths,133924.8634033203,111679.71667480469,156170.01013183594
Baseline,ablations,252565.65286254883,,
Baseline,txvs,0.0,,
Baseline,vaccinations,0.0,,
Baseline,screens,3169403.8173828125,,
Baseline,excisions,0.0,,
Baseline,leeps,114706.27015686035,,
Baseline,cancer_treatments,4691.153427124023,,
S&T&T 70%,cancers,152084.16944885254,134681.50323486328,169486.8356628418
S&T&T 70%,cancers_with_hiv,5296.46354675293,1815.9303588867188,8776.99673461914
S&T&T 70%,cancers_no_hiv,146787.70487976074,130141.6763305664,163433.73342895508
S&T&T 70%,cancer_deaths,121364.6787109375,102600.06509399414,140129.29232788086
S&T&T 70%,ablations,565813.673751831,,
S&T&T 70%,txvs,0.0,,
S&T&T 70%,vaccinations,0.0,,
S&T&T 70%,screens,6754202.648193359,,
S&T&T 70%,excisions,0.0,,
S&T&T 70%,leeps,269060.35746765137,,
S&T&T 70%,cancer_treatments,8776.99674987793,,
S&T 70%,cancers,127115.12651062012,113192.99349975586,141037.25952148438
S&T 70%,cancers_with_hiv,4691.153427124023,1210.6202392578125,8171.686614990234
S&T 70%,cancers_no_hiv,122423.97232055664,108955.82186889648,135892.1227722168
S&T 70%,cancer_deaths,113041.66467285156,100481.47994995117,125601.84939575195
S&T 70%,ablations,1447447.8590698242,,
S&T 70%,txvs,0.0,,
S&T 70%,vaccinations,0.0,,
S&T 70%,screens,6715916.809082031,,
S&T 70%,excisions,0.0,,
S&T 70%,leeps,862112.9492492676,,
S&T 70%,cancer_treatments,6355.756256103516,,
