scenario,sim,metric,value
Baseline,8,cancers_no_hiv,96205.08716757667
Baseline,8,cancers_with_hiv,4354.680884849366
Baseline,8,dalys,2125167.4713590997
Baseline,8,excisions,0.0
Baseline,8,leeps,61954.4224
Baseline,8,screens,8139560.1006000005
Baseline,8,txvs,0.0
Baseline,8,vaccinations,13567422.79
Baseline,8,yld,131822.82548657144
Baseline,8,yll,1993344.6458725284
Baseline,9,ablations,667797.1876
Baseline,9,asr_cancer_incidence,820.0113190229748
Baseline,9,cancer_deaths,80630.09855216541
Baseline,9,cancer_incidence,737.2981717586517
Baseline,9,cancer_incidence_no_hiv,698.9905939400196
Baseline,9,cancer_incidence_with_hiv,4454.810540437698
Baseline,9,cancer_treatments,86378.762
Baseline,9,cancers,83176.78250437668
Baseline,9,cancers_no_hiv,77928.53327434097
Baseline,9,cancers_with_hiv,4584.0313724077005
Baseline,9,dalys,1447110.7542133965
Baseline,9,excisions,0.0
Baseline,9,leeps,36040.7938
Baseline,9,screens,6522192.2466
Baseline,9,txvs,0.0
Baseline,9,vaccinations,13507255.5144
Baseline,9,yld,102056.35695870557
Baseline,9,yll,1345054.3972546908
HPV-Faster 18%,0,ablations,622522.802
HPV-Faster 18%,0,asr_cancer_incidence,673.2742423970088
HPV-Faster 18%,0,cancer_deaths,68131.98716909393
HPV-Faster 18%,0,cancer_incidence,613.8748382925987
HPV-Faster 18%,0,cancer_incidence_no_hiv,587.0418010056019
HPV-Faster 18%,0,cancer_incidence_with_hiv,3320.0147054195404
HPV-Faster 18%,0,cancer_treatments,78038.7436
HPV-Faster 18%,0,cancers,70529.74307126399
HPV-Faster 18%,0,cancers_no_hiv,66636.74420168214
HPV-Faster 18%,0,cancers_with_hiv,3321.1143469446088
HPV-Faster 18%,0,dalys,1255079.6756524656
HPV-Faster 18%,0,excisions,0.0
HPV-Faster 18%,0,leeps,30679.3534
HPV-Faster 18%,0,screens,6411984.8606
HPV-Faster 18%,0,txvs,0.0
HPV-Faster 18%,0,vaccinations,13554317.0468
HPV-Faster 18%,0,yld,86615.36562197059
HPV-Faster 18%,0,yll,1168464.3100304948
HPV-Faster 18%,1,ablations,1239684.1636
HPV-Faster 18%,1,asr_cancer_incidence,905.0253285144428
HPV-Faster 18%,1,cancer_deaths,95865.5232396931
HPV-Faster 18%,1,cancer_incidence,868.1054964065552
HPV-Faster 18%,1,cancer_incidence_no_hiv,825.7803236246109
HPV-Faster 18%,1,cancer_incidence_with_hiv,4641.072412967682
HPV-Faster 18%,1,cancer_treatments,129270.2852
HPV-Faster 18%,1,cancers,106275.65246234056
HPV-Faster 18%,1,cancers_no_hiv,100467.43162939961
HPV-Faster 18%,1,cancers_with_hiv,5114.2182062756665
HPV-Faster 18%,1,dalys,2142921.165524538
HPV-Faster 18%,1,excisions,0.0
HPV-Faster 18%,1,leeps,54210.1196
HPV-Faster 18%,1,screens,8468692.9696
HPV-Faster 18%,1,txvs,0.0
HPV-Faster 18%,1,vaccinations,13543892.0238
HPV-Faster 18%,1,yld,139373.84057184745
HPV-Faster 18%,1,yll,2003547.3249526906
HPV-Faster 18%,2,ablations,820598.2390000001
HPV-Faster 18%,2,asr_cancer_incidence,711.16973968377
HPV-Faster 18%,2,cancer_deaths,74532.94925669649
HPV-Faster 18%,2,cancer_incidence,663.0390944480896
HPV-Faster 18%,2,cancer_incidence_no_hiv,626.7992863059044
HPV-Faster 18%,2,cancer_incidence_with_hiv,3985.3717596530914
HPV-Faster 18%,2,cancer_treatments,95612.3538
HPV-Faster 18%,2,cancers,78488.50061635619
